Part,Description,Qty,Unit Cost,Cost (AU),Where did I get from?
ESP32-S2-MINI-2-N4R2,The brain of StudyTotem,1,7.28,$7.28,Mouser Electronics
MPU6050 module,rotation sensor,1,4.24,$4.24,Aliexpress
TTP223, touch sensor,1,3.17,$3.17,Aliexpress
WS2812B,LED light,1,4.42,$4.42,Aliexpress
330Ω resistor,Resistor,1,0.123,$0.12,Little Bird Electronics
1000µF capacitor,capacitor,1,0.249,$0.25,Aliexpress
USB Cable,Cable,1,5.99,$5.99,Aliexpress
Jumper wires,Jumper wires,20,0.12,$1.20,Aliexpress
PBC,PBC,1,0.28,$0.28,Aliexpress
,,Total Cost: $26.952 AUD,,,
